#       time                 chi                 phi               lapse
   6.0750000    5.6441765804e-01    7.8283101735e-02    1.0133555828e+00
   6.1000000    5.6413659689e-01    7.6459561608e-02    1.0144901491e+00
   6.1250000    5.6387643996e-01    7.4617128076e-02    1.0155262992e+00
   6.1500000    5.6363786032e-01    7.2755773862e-02    1.0164622572e+00
   6.1750000    5.6342154344e-01    7.0875460241e-02    1.0172962309e+00
   6.2000000    5.6322818681e-01    6.8976137455e-02    1.0180264089e+00
   6.2250000    5.6305849946e-01    6.7057745323e-02    1.0186509578e+00
   6.2500000    5.6291320167e-01    6.5120214072e-02    1.0191680198e+00
   6.2750000    5.6279302457e-01    6.3163465393e-02    1.0195757101e+00
   6.3000000    5.6269870996e-01    6.1187413742e-02    1.0198721158e+00
   6.3250000    5.6263101011e-01    5.9191967872e-02    1.0200552940e+00
   6.3500000    5.6259068771e-01    5.7177032633e-02    1.0201232711e+00
   6.3750000    5.6257851585e-01    5.5142511021e-02    1.0200740428e+00
   6.4000000    5.6259527808e-01    5.3088306503e-02    1.0199055740e+00
   6.4250000    5.6264176845e-01    5.1014325622e-02    1.0196158001e+00
   6.4500000    5.6271879156e-01    4.8920480889e-02    1.0192026284e+00
   6.4750000    5.6282716255e-01    4.6806693985e-02    1.0186639409e+00
   6.5000000    5.6296770693e-01    4.4672899280e-02    1.0179975967e+00
   6.5250000    5.6314126020e-01    4.2519047696e-02    1.0172014369e+00
   6.5500000    5.6334866728e-01    4.0345110925e-02    1.0162732886e+00
   6.5750000    5.6359078154e-01    3.8151086042e-02    1.0152109716e+00
   6.6000000    5.6386846344e-01    3.5937000520e-02    1.0140123042e+00
   6.6250000    5.6418257868e-01    3.3702917692e-02    1.0126751120e+00
   6.6500000    5.6453399580e-01    3.1448942675e-02    1.0111972365e+00
   6.6750000    5.6492358307e-01    2.9175228807e-02    1.0095765455e+00
   6.7000000    5.6535220475e-01    2.6881984597e-02    1.0078109449e+00
   6.7250000    5.6582071647e-01    2.4569481250e-02    1.0058983916e+00
   6.7500000    5.6632995980e-01    2.2238060760e-02    1.0038369088e+00
   6.7750000    5.6688075589e-01    1.9888144623e-02    1.0016246020e+00
   6.8000000    5.6747389809e-01    1.7520243150e-02    9.9925967792e-01
   6.8250000    5.6811014362e-01    1.5134965417e-02    9.9674046437e-01
   6.8500000    5.6879020410e-01    1.2733029821e-02    9.9406543331e-01
   6.8750000    5.6951473507e-01    1.0315275239e-02    9.9123322545e-01
   6.9000000    5.7028432428e-01    7.8826727411e-03    9.8824267756e-01
   6.9250000    5.7109947903e-01    5.4363378093e-03    9.8509285200e-01
   6.9500000    5.7196061225e-01    2.9775429851e-03    9.8178306889e-01
   6.9750000    5.7286802757e-01    5.0773083660e-04    9.7831294049e-01
   7.0000000    5.7382190337e-01   -1.9714728800e-03    9.7468240805e-01
   7.0250000    5.7482227585e-01   -4.4582460282e-03    9.7089178067e-01
   7.0500000    5.7586902115e-01   -6.9505570620e-03    9.6694177601e-01
   7.0750000    5.7696183684e-01   -9.4461523901e-03    9.6283356250e-01
   7.1000000    5.7810022277e-01   -1.1942544397e-02    9.5856880248e-01
   7.1250000    5.7928346150e-01   -1.4437000424e-02    9.5414969559e-01
   7.1500000    5.8051059869e-01   -1.6926533048e-02    9.4957902178e-01
   7.1750000    5.8178042365e-01   -1.9407892023e-02    9.4486018298e-01
   7.2000000    5.8309145042e-01   -2.1877558293e-02    9.3999724227e-01
   7.2250000    5.8444189989e-01   -2.4331740484e-02    9.3499495964e-01
   7.2500000    5.8582968337e-01   -2.6766374325e-02    9.2985882276e-01
   7.2750000    5.8725238819e-01   -2.9177125424e-02    9.2459507165e-01
   7.3000000    5.8870726598e-01   -3.1559395839e-02    9.1921071558e-01
   7.3250000    5.9019122415e-01   -3.3908334832e-02    9.1371354096e-01
   7.3500000    5.9170082134e-01   -3.6218854176e-02    9.0811210857e-01
   7.3750000    5.9323226749e-01   -3.8485648305e-02    9.0241573892e-01
   7.4000000    5.9478142911e-01   -4.0703219512e-02    8.9663448442e-01
   7.4250000    5.9634384038e-01   -4.2865908296e-02    8.9077908749e-01
   7.4500000    5.9791472059e-01   -4.4967928843e-02    8.8486092368e-01
   7.4750000    5.9948899822e-01   -4.7003409472e-02    8.7889192974e-01
   7.5000000    6.0106134193e-01   -4.8966437714e-02    8.7288451639e-01
   7.5250000    6.0262619846e-01   -5.0851109556e-02    8.6685146660e-01
   7.5500000    6.0417783718e-01   -5.2651582179e-02    8.6080582023e-01
   7.5750000    6.0571040085e-01   -5.4362129389e-02    8.5476074677e-01
   7.6000000    6.0721796200e-01   -5.5977198782e-02    8.4872940824e-01
   7.6250000    6.0869458369e-01   -5.7491469563e-02    8.4272481480e-01
   7.6500000    6.1013438379e-01   -5.8899909837e-02    8.3675967621e-01
   7.6750000    6.1153160113e-01   -6.0197832169e-02    8.3084625234e-01
   7.7000000    6.1288066213e-01   -6.1380946146e-02    8.2499620654e-01
   7.7250000    6.1417624616e-01   -6.2445406760e-02    8.1922046526e-01
   7.7500000    6.1541334799e-01   -6.3387857476e-02    8.1352908768e-01
   7.7750000    6.1658733576e-01   -6.4205466979e-02    8.0793114872e-01
   7.8000000    6.1769400281e-01   -6.4895958772e-02    8.0243463833e-01
   7.8250000    6.1872961211e-01   -6.5457632963e-02    7.9704637973e-01
   7.8500000    6.1969093224e-01   -6.5889379829e-02    7.9177196844e-01
   7.8750000    6.2057526389e-01   -6.6190684932e-02    7.8661573342e-01
   7.9000000    6.2138045667e-01   -6.6361625847e-02    7.8158072079e-01
   7.9250000    6.2210491584e-01   -6.6402860733e-02    7.7666870021e-01
   7.9500000    6.2274759915e-01   -6.6315609218e-02    7.7188019275e-01
   7.9750000    6.2330800443e-01   -6.6101626248e-02    7.6721451912e-01
   8.0000000    6.2378614847e-01   -6.5763169684e-02    7.6266986607e-01
   8.0250000    6.2418253833e-01   -6.5302962568e-02    7.5824336855e-01
   8.0500000    6.2449813610e-01   -6.4724151039e-02    7.5393120505e-01
   8.0750000    6.2473431861e-01   -6.4030258933e-02    7.4972870294e-01
   8.1000000    6.2489283316e-01   -6.3225140113e-02    7.4563045104e-01
   8.1250000    6.2497575087e-01   -6.2312929522e-02    7.4163041633e-01
   8.1500000    6.2498541876e-01   -6.1297993936e-02    7.3772206202e-01
   8.1750000    6.2492441192e-01   -6.0184883282e-02    7.3389846439e-01
   8.2000000    6.2479548675e-01   -5.8978283321e-02    7.3015242603e-01
   8.2250000    6.2460153632e-01   -5.7682970364e-02    7.2647658363e-01
   8.2500000    6.2434554850e-01   -5.6303768595e-02    7.2286350851e-01
   8.2750000    6.2403056758e-01   -5.4845510445e-02    7.1930579876e-01
   8.3000000    6.2365965981e-01   -5.3313000365e-02    7.1579616210e-01
   8.3250000    6.2323588306e-01   -5.1710982209e-02    7.1232748874e-01
   8.3500000    6.2276226080e-01   -5.0044110369e-02    7.0889291417e-01
   8.3750000    6.2224176039e-01   -4.8316924686e-02    7.0548587176e-01
   8.4000000    6.2167727558e-01   -4.6533829110e-02    7.0210013552e-01
   8.4250000    6.2107161298e-01   -4.4699073979e-02    6.9872985332e-01
   8.4500000    6.2042748221e-01   -4.2816741772e-02    6.9536957140e-01
   8.4750000    6.1974748949e-01   -4.0890736109e-02    6.9201425061e-01
   8.5000000    6.1903413419e-01   -3.8924773780e-02    6.8865927537e-01
   8.5250000    6.1828980804e-01   -3.6922379517e-02    6.8530045602e-01
   8.5500000    6.1751679657e-01   -3.4886883256e-02    6.8193402557e-01
   8.5750000    6.1671728232e-01   -3.2821419601e-02    6.7855663145e-01
   8.6000000    6.1589334968e-01   -3.0728929216e-02    6.7516532329e-01
   8.6250000    6.1504699064e-01   -2.8612161876e-02    6.7175753736e-01
   8.6500000    6.1418011153e-01   -2.6473680921e-02    6.6833107832e-01
   8.6750000    6.1329454009e-01   -2.4315868882e-02    6.6488409910e-01
