#       time                 chi                 phi               lapse
   3.5250000    7.3601059831e-01    5.9709074364e-02    8.6086905011e-01
   3.5500000    7.3538399778e-01    5.9557401638e-02    8.6263545668e-01
   3.5750000    7.3475294780e-01    5.9394341879e-02    8.6441510393e-01
   3.6000000    7.3411750335e-01    5.9219761984e-02    8.6620767213e-01
   3.6250000    7.3347771884e-01    5.9033526199e-02    8.6801284818e-01
   3.6500000    7.3283365027e-01    5.8835496088e-02    8.6983032713e-01
   3.6750000    7.3218535791e-01    5.8625530508e-02    8.7165981288e-01
   3.7000000    7.3153290944e-01    5.8403485601e-02    8.7350101808e-01
   3.7250000    7.3087638344e-01    5.8169214788e-02    8.7535366309e-01
   3.7500000    7.3021587311e-01    5.7922568776e-02    8.7721747411e-01
   3.7750000    7.2955149007e-01    5.7663395570e-02    8.7909218042e-01
   3.8000000    7.2888336803e-01    5.7391540478e-02    8.8097751087e-01
   3.8250000    7.2821166615e-01    5.7106846121e-02    8.8287318963e-01
   3.8500000    7.2753657196e-01    5.6809152421e-02    8.8477893139e-01
   3.8750000    7.2685830352e-01    5.6498296588e-02    8.8669443618e-01
   3.9000000    7.2617711090e-01    5.6174113075e-02    8.8861938392e-01
   3.9250000    7.2549327659e-01    5.5836433515e-02    8.9055342886e-01
   3.9500000    7.2480711496e-01    5.5485086632e-02    8.9249619419e-01
   3.9750000    7.2411897066e-01    5.5119898122e-02    8.9444726691e-01
   4.0000000    7.2342921597e-01    5.4740690498e-02    8.9640619313e-01
   4.0250000    7.2273824723e-01    5.4347282913e-02    8.9837247397e-01
   4.0500000    7.2204648042e-01    5.3939490954e-02    9.0034556221e-01
   4.0750000    7.2135434614e-01    5.3517126408e-02    9.0232485972e-01
   4.1000000    7.2066228416e-01    5.3079997019e-02    9.0430971575e-01
   4.1250000    7.1997073779e-01    5.2627906221e-02    9.0629942619e-01
   4.1500000    7.1928014844e-01    5.2160652871e-02    9.0829323361e-01
   4.1750000    7.1859095052e-01    5.1678030993e-02    9.1029032829e-01
   4.2000000    7.1790356695e-01    5.1179829514e-02    9.1228984990e-01
   4.2250000    7.1721840568e-01    5.0665832036e-02    9.1429088992e-01
   4.2500000    7.1653585717e-01    5.0135816625e-02    9.1629249454e-01
   4.2750000    7.1585629316e-01    4.9589555632e-02    9.1829366797e-01
   4.3000000    7.1518006674e-01    4.9026815560e-02    9.2029337592e-01
   4.3250000    7.1450751371e-01    4.8447356967e-02    9.2229054915e-01
   4.3500000    7.1383895526e-01    4.7850934420e-02    9.2428408679e-01
   4.3750000    7.1317470175e-01    4.7237296505e-02    9.2627285941e-01
   4.4000000    7.1251505757e-01    4.6606185883e-02    9.2825571161e-01
   4.4250000    7.1186032667e-01    4.5957339407e-02    9.3023146395e-01
   4.4500000    7.1121081869e-01    4.5290488295e-02    9.3219891418e-01
   4.4750000    7.1056685531e-01    4.4605358359e-02    9.3415683772e-01
   4.5000000    7.0992877659e-01    4.3901670301e-02    9.3610398726e-01
   4.5250000    7.0929694697e-01    4.3179140061e-02    9.3803909154e-01
   4.5500000    7.0867176076e-01    4.2437479246e-02    9.3996085339e-01
   4.5750000    7.0805364687e-01    4.1676395621e-02    9.4186794692e-01
   4.6000000    7.0744307257e-01    4.0895593683e-02    9.4375901422e-01
   4.6250000    7.0684054626e-01    4.0094775321e-02    9.4563266148e-01
   4.6500000    7.0624661913e-01    3.9273640582e-02    9.4748745479e-01
   4.6750000    7.0566188574e-01    3.8431888540e-02    9.4932191575e-01
   4.7000000    7.0508698356e-01    3.7569218306e-02    9.5113451709e-01
   4.7250000    7.0452259162e-01    3.6685330172e-02    9.5292367842e-01
   4.7500000    7.0396942839e-01    3.5779926933e-02    9.5468776228e-01
   4.7750000    7.0342824909e-01    3.4852715395e-02    9.5642507071e-01
   4.8000000    7.0289984262e-01    3.3903408084e-02    9.5813384231e-01
   4.8250000    7.0238502834e-01    3.2931725209e-02    9.5981225005e-01
   4.8500000    7.0188465288e-01    3.1937396860e-02    9.6145839975e-01
