#       time                 chi                 phi               lapse
   0.8041667    6.7991134430e-01    3.5754754291e-02    6.7310699851e-01
   0.8083333    6.7990323649e-01    3.5919672925e-02    6.7311999753e-01
   0.8125000    6.7989501501e-01    3.6084289081e-02    6.7313318371e-01
   0.8166667    6.7988667855e-01    3.6248601464e-02    6.7314655867e-01
   0.8208333    6.7987822589e-01    3.6412608777e-02    6.7316012403e-01
   0.8250000    6.7986965585e-01    3.6576309729e-02    6.7317388141e-01
   0.8291667    6.7986096733e-01    3.6739703031e-02    6.7318783247e-01
   0.8333333    6.7985215930e-01    3.6902787396e-02    6.7320197887e-01
   0.8375000    6.7984323081e-01    3.7065561540e-02    6.7321632229e-01
   0.8416667    6.7983418097e-01    3.7228024181e-02    6.7323086441e-01
   0.8458333    6.7982500898e-01    3.7390174042e-02    6.7324560696e-01
   0.8500000    6.7981571407e-01    3.7552009846e-02    6.7326055164e-01
   0.8541667    6.7980629556e-01    3.7713530320e-02    6.7327570019e-01
   0.8583333    6.7979675280e-01    3.7874734194e-02    6.7329105437e-01
   0.8625000    6.7978708520e-01    3.8035620201e-02    6.7330661592e-01
   0.8666667    6.7977729220e-01    3.8196187077e-02    6.7332238664e-01
   0.8708333    6.7976737326e-01    3.8356433558e-02    6.7333836829e-01
   0.8750000    6.7975732787e-01    3.8516358387e-02    6.7335456268e-01
   0.8791667    6.7974715549e-01    3.8675960308e-02    6.7337097161e-01
   0.8833333    6.7973685562e-01    3.8835238067e-02    6.7338759691e-01
   0.8875000    6.7972642770e-01    3.8994190414e-02    6.7340444039e-01
   0.8916667    6.7971587116e-01    3.9152816102e-02    6.7342150390e-01
   0.8958333    6.7970518540e-01    3.9311113886e-02    6.7343878928e-01
   0.9000000    6.7969436974e-01    3.9469082525e-02    6.7345629838e-01
   0.9041667    6.7968342349e-01    3.9626720779e-02    6.7347403305e-01
   0.9083333    6.7967234587e-01    3.9784027414e-02    6.7349199517e-01
   0.9125000    6.7966113603e-01    3.9941001194e-02    6.7351018661e-01
   0.9166667    6.7964979307e-01    4.0097640891e-02    6.7352860923e-01
   0.9208333    6.7963831601e-01    4.0253945277e-02    6.7354726493e-01
   0.9250000    6.7962670380e-01    4.0409913126e-02    6.7356615557e-01
   0.9291667    6.7961495533e-01    4.0565543217e-02    6.7358528306e-01
   0.9333333    6.7960306941e-01    4.0720834329e-02    6.7360464927e-01
   0.9375000    6.7959104482e-01    4.0875785247e-02    6.7362425610e-01
   0.9416667    6.7957888028e-01    4.1030394755e-02    6.7364410544e-01
   0.9458333    6.7956657445e-01    4.1184661641e-02    6.7366419918e-01
   0.9500000    6.7955412600e-01    4.1338584698e-02    6.7368453920e-01
   0.9541667    6.7954153353e-01    4.1492162716e-02    6.7370512741e-01
   0.9583333    6.7952879567e-01    4.1645394493e-02    6.7372596568e-01
   0.9625000    6.7951591102e-01    4.1798278825e-02    6.7374705589e-01
   0.9666667    6.7950287821e-01    4.1950814513e-02    6.7376839994e-01
   0.9708333    6.7948969586e-01    4.2103000359e-02    6.7378999971e-01
   0.9750000    6.7947636265e-01    4.2254835169e-02    6.7381185705e-01
   0.9791667    6.7946287727e-01    4.2406317747e-02    6.7383397386e-01
   0.9833333    6.7944923844e-01    4.2557446904e-02    6.7385635198e-01
   0.9875000    6.7943544495e-01    4.2708221451e-02    6.7387899328e-01
   0.9916667    6.7942149562e-01    4.2858640200e-02    6.7390189962e-01
   0.9958333    6.7940738930e-01    4.3008701967e-02    6.7392507284e-01
   1.0000000    6.7939312490e-01    4.3158405568e-02    6.7394851479e-01
   1.0041667    6.7937870138e-01    4.3307749823e-02    6.7397222729e-01
   1.0083333    6.7936411772e-01    4.3456733552e-02    6.7399621217e-01
   1.0125000    6.7934937294e-01    4.3605355580e-02    6.7402047126e-01
   1.0166667    6.7933446609e-01    4.3753614730e-02    6.7404500636e-01
   1.0208333    6.7931939624e-01    4.3901509829e-02    6.7406981928e-01
